Date,Open,High,Low,Close,Adj Close,Volume
2021-08-11,23.160000,23.160000,22.959999,22.980000,22.980000,2214
2021-08-12,22.920000,23.450001,22.820000,23.340000,23.340000,6248
2021-08-13,23.500000,23.500000,23.230000,23.309999,23.309999,2123
2021-08-16,22.920000,22.920000,22.070000,22.190001,22.190001,9687
2021-08-17,21.840000,21.889999,21.150000,21.620001,21.620001,16115
2021-08-18,21.900000,22.549999,21.840000,22.440001,22.440001,11890
2021-08-19,21.900000,22.090000,21.680000,21.870001,21.870001,11891
2021-08-20,22.180000,22.360001,21.879999,22.049999,22.049999,11069
2021-08-23,22.280001,23.059999,22.100000,22.889999,22.889999,8193
2021-08-24,23.049999,23.049999,22.850000,22.980000,22.980000,9727
2021-08-25,22.889999,23.190001,22.889999,23.180000,23.180000,5004
2021-08-26,22.980000,23.170000,22.620001,22.680000,22.680000,7249
2021-08-27,22.920000,23.170000,22.920000,23.020000,23.020000,7568
2021-08-30,23.170000,23.670000,23.170000,23.670000,23.670000,10395
2021-08-31,23.700001,23.950001,23.590000,23.690001,23.690001,16042
2021-09-01,23.799999,23.980000,23.700001,23.790001,23.790001,9333
2021-09-02,23.799999,23.980000,23.670000,23.719999,23.719999,12276
2021-09-03,23.740000,23.760000,23.500000,23.760000,23.760000,7392
2021-09-07,23.990000,24.559999,23.990000,24.370001,24.370001,34704
2021-09-08,24.700001,24.700001,24.100000,24.370001,24.370001,14133
2021-09-09,24.440001,24.620001,24.440001,24.530001,24.530001,9731
2021-09-10,24.629999,24.629999,24.000000,24.000000,24.000000,6759
2021-09-13,24.020000,24.110001,23.000000,24.110001,24.110001,22514
2021-09-14,24.280001,24.389999,23.889999,23.889999,23.889999,17146
2021-09-15,24.150000,24.500000,23.959999,24.490000,24.490000,33352
2021-09-16,24.410000,24.600000,24.209999,24.590000,24.590000,10611
2021-09-17,24.570000,24.610001,24.340000,24.540001,24.540001,44069
2021-09-20,23.820000,23.940001,23.400000,23.660000,23.660000,11039
2021-09-21,23.830000,24.040001,23.830000,24.020000,24.020000,11189
2021-09-22,24.170000,24.299999,24.160000,24.180000,24.180000,13514
2021-09-23,24.469999,24.469999,24.270000,24.420000,24.420000,16136
2021-09-24,24.170000,24.959999,24.150000,24.959999,24.959999,20462
2021-09-27,25.059999,25.799999,24.930000,25.639999,25.639999,34468
2021-09-28,25.510000,25.740000,24.879999,25.230000,25.230000,32326
2021-09-29,25.320000,25.690001,25.000000,25.290001,25.290001,26454
2021-09-30,25.309999,25.500000,25.120001,25.120001,25.120001,32557
2021-10-01,25.080000,25.080000,24.600000,24.910000,24.910000,27305
2021-10-04,25.830000,26.110001,25.170000,25.299999,25.299999,69304
2021-10-05,25.400000,25.799999,25.230000,25.320000,25.320000,10258
2021-10-06,25.160000,25.420000,25.160000,25.320000,25.320000,27070
2021-10-07,25.450001,27.820000,25.410000,25.730000,25.730000,57003
2021-10-08,25.809999,25.809999,25.340000,25.420000,25.420000,19248
2021-10-12,25.940001,26.250000,25.940001,26.100000,26.100000,35760
2021-10-13,26.260000,26.309999,26.139999,26.219999,26.219999,19192
2021-10-14,26.400000,26.530001,26.360001,26.480000,26.480000,18120
2021-10-15,26.680000,27.260000,26.680000,27.260000,27.260000,22035
